"가구구분코드","가구원수","세대구분코드","가구주_성별코드","가구주_연령","가구원2_성별코드","가구원2_연령","가구원3_성별코드","가구원3_연령","가구원4_성별코드","가구원4_연령","가구원5_성별코드","가구원5_연령","가구원6_성별코드","가구원6_연령","가구원7_성별코드","가구원7_연령","가구원8_성별코드","가구원8_연령","가구원9_성별코드","가구원9_연령","거처구분코드","소득구간코드","가계지출금액","가계지출_소비지출금액","가구일련번호"
1,1,1,1,19,,,,,,,,,,,,,,,,,1,2,1623590,1560160,00412
1,1,1,1,19,,,,,,,,,,,,,,,,,4,1,823681,818056,01865
1,1,1,1,20,,,,,,,,,,,,,,,,,1,2,1038954,1035172,05141
1,1,1,1,20,,,,,,,,,,,,,,,,,1,3,1414130,1165780,01206
1,1,1,1,21,,,,,,,,,,,,,,,,,1,1,1434111,1434111,08958
1,1,1,1,21,,,,,,,,,,,,,,,,,1,2,1286574,1241089,09186
1,1,1,1,21,,,,,,,,,,,,,,,,,1,2,2610768,2534705,04433
1,1,1,1,22,,,,,,,,,,,,,,,,,1,1,1116735,1116735,11957
1,1,1,1,22,,,,,,,,,,,,,,,,,1,2,1501830,1358030,11317
1,1,1,1,22,,,,,,,,,,,,,,,,,1,2,1982880,1982880,01721
1,1,1,1,22,,,,,,,,,,,,,,,,,1,3,2690001,2364506,04691
1,1,1,1,22,,,,,,,,,,,,,,,,,2,3,2371980,2249780,00298
1,1,1,1,22,,,,,,,,,,,,,,,,,6,4,2247921,1866496,03490
1,1,1,1,22,,,,,,,,,,,,,,,,,6,4,2629110,2215320,13237
1,1,1,1,23,,,,,,,,,,,,,,,,,1,1,1044074,1044074,04073
1,1,1,1,23,,,,,,,,,,,,,,,,,1,1,1497463,1455463,11951
1,1,1,1,23,,,,,,,,,,,,,,,,,1,1,677917,677917,09182
1,1,1,1,23,,,,,,,,,,,,,,,,,1,2,1114773,1114773,04497
1,1,1,1,23,,,,,,,,,,,,,,,,,1,2,1429267,1277591,04434
1,1,1,1,23,,,,,,,,,,,,,,,,,1,2,1513515,1226225,11446
1,1,1,1,23,,,,,,,,,,,,,,,,,1,2,1629625,1573625,09187
1,1,1,1,23,,,,,,,,,,,,,,,,,1,2,1779522,1708908,02171
1,1,1,1,23,,,,,,,,,,,,,,,,,1,3,1237495,1089670,11292
1,1,1,1,23,,,,,,,,,,,,,,,,,1,3,1871297,1610237,04824
1,1,1,1,23,,,,,,,,,,,,,,,,,1,4,2137841,1655500,04197
1,1,1,1,23,,,,,,,,,,,,,,,,,1,4,2529586,1282766,04362
1,1,1,1,23,,,,,,,,,,,,,,,,,3,3,1300850,1300850,06937
1,1,1,1,23,,,,,,,,,,,,,,,,,6,1,769960,646060,04087
1,1,1,1,24,,,,,,,,,,,,,,,,,1,1,956841,945354,00321
