성별,연령대,가구원수,소득구간,가계지출금액,가계지출_소비지출금액,가구일련번호
남자,20대,1인가구,저소득(월 300만원 미만),1038954,1035172,5141
남자,20대,1인가구,저소득(월 300만원 미만),1414130,1165780,1206
남자,20대,1인가구,저소득(월 300만원 미만),1434111,1434111,8958
남자,20대,1인가구,저소득(월 300만원 미만),1286574,1241089,9186
남자,20대,1인가구,저소득(월 300만원 미만),2610768,2534705,4433
남자,20대,1인가구,저소득(월 300만원 미만),1116735,1116735,11957
남자,20대,1인가구,저소득(월 300만원 미만),1501830,1358030,11317
남자,20대,1인가구,저소득(월 300만원 미만),1982880,1982880,1721
남자,20대,1인가구,저소득(월 300만원 미만),2690001,2364506,4691
남자,20대,1인가구,저소득(월 300만원 미만),2371980,2249780,298
남자,20대,1인가구,중간소득(월 300~700만원 미만),2247921,1866496,3490
남자,20대,1인가구,중간소득(월 300~700만원 미만),2629110,2215320,13237
남자,20대,1인가구,저소득(월 300만원 미만),1044074,1044074,4073
남자,20대,1인가구,저소득(월 300만원 미만),1497463,1455463,11951
남자,20대,1인가구,저소득(월 300만원 미만),677917,677917,9182
남자,20대,1인가구,저소득(월 300만원 미만),1114773,1114773,4497
남자,20대,1인가구,저소득(월 300만원 미만),1429267,1277591,4434
남자,20대,1인가구,저소득(월 300만원 미만),1513515,1226225,11446
남자,20대,1인가구,저소득(월 300만원 미만),1629625,1573625,9187
남자,20대,1인가구,저소득(월 300만원 미만),1779522,1708908,2171
남자,20대,1인가구,저소득(월 300만원 미만),1237495,1089670,11292
남자,20대,1인가구,저소득(월 300만원 미만),1871297,1610237,4824
남자,20대,1인가구,중간소득(월 300~700만원 미만),2137841,1655500,4197
남자,20대,1인가구,중간소득(월 300~700만원 미만),2529586,1282766,4362
남자,20대,1인가구,저소득(월 300만원 미만),1300850,1300850,6937
남자,20대,1인가구,저소득(월 300만원 미만),769960,646060,4087
남자,20대,1인가구,저소득(월 300만원 미만),956841,945354,321
남자,20대,1인가구,저소득(월 300만원 미만),1105023,1105023,4559
남자,20대,1인가구,저소득(월 300만원 미만),1190107,1169822,9066
남자,20대,1인가구,저소득(월 300만원 미만),1236561,1099561,11827
남자,20대,1인가구,저소득(월 300만원 미만),1366122,1286562,4761
남자,20대,1인가구,저소득(월 300만원 미만),1603445,1497089,1722
남자,20대,1인가구,저소득(월 300만원 미만),2137339,1770199,4643
남자,20대,1인가구,저소득(월 300만원 미만),1580279,1303119,10627
남자,20대,1인가구,저소득(월 300만원 미만),1817384,1622975,4422
남자,20대,1인가구,저소득(월 300만원 미만),2455421,2422087,4493
남자,20대,1인가구,중간소득(월 300~700만원 미만),1907449,1332779,4558
남자,20대,1인가구,중간소득(월 300~700만원 미만),2658050,2051080,9064
남자,20대,1인가구,중간소득(월 300~700만원 미만),2854549,2533456,6994
남자,20대,1인가구,중간소득(월 300~700만원 미만),3226027,2072528,9796
남자,20대,1인가구,고소득(월 700만원 이상),4232939,2544265,11412
남자,20대,1인가구,저소득(월 300만원 미만),2620570,2520570,9129
남자,20대,1인가구,저소득(월 300만원 미만),1472549,1304836,615
남자,20대,1인가구,저소득(월 300만원 미만),1513865,1513865,4490
남자,20대,1인가구,저소득(월 300만원 미만),1546347,1546347,1825
남자,20대,1인가구,저소득(월 300만원 미만),1765849,1715849,549
남자,20대,1인가구,저소득(월 300만원 미만),2233970,1993640,13235
남자,20대,1인가구,중간소득(월 300~700만원 미만),3470704,2487835,12131
남자,20대,1인가구,고소득(월 700만원 이상),3244980,1939269,9274
남자,20대,1인가구,저소득(월 300만원 미만),1839986,1698406,4759
남자,20대,1인가구,저소득(월 300만원 미만),661190,576700,6326
남자,20대,1인가구,저소득(월 300만원 미만),982070,977070,9451
남자,20대,1인가구,저소득(월 300만원 미만),1928458,1586838,4833
남자,20대,1인가구,저소득(월 300만원 미만),2110347,1752416,9183
남자,20대,1인가구,저소득(월 300만원 미만),2355750,2016410,13284
남자,20대,1인가구,저소득(월 300만원 미만),2595744,2311334,6848
남자,20대,1인가구,중간소득(월 300~700만원 미만),2755785,2105830,9018
남자,20대,1인가구,중간소득(월 300~700만원 미만),2702782,2128832,12902
남자,20대,1인가구,중간소득(월 300~700만원 미만),3080558,2105213,9051
남자,20대,1인가구,고소득(월 700만원 이상),5746783,3936239,9450
남자,20대,1인가구,저소득(월 300만원 미만),2059379,2020879,9135
남자,20대,1인가구,중간소득(월 300~700만원 미만),3702978,2825708,9808
남자,20대,1인가구,저소득(월 300만원 미만),2258733,1021699,4536
남자,20대,1인가구,중간소득(월 300~700만원 미만),1190570,1043070,84
남자,20대,1인가구,중간소득(월 300~700만원 미만),2901021,2206449,7104
남자,20대,1인가구,저소득(월 300만원 미만),945375,679341,2519
남자,20대,1인가구,저소득(월 300만원 미만),1748610,1378083,9107
남자,20대,1인가구,저소득(월 300만원 미만),1851366,1664133,4025
남자,20대,1인가구,중간소득(월 300~700만원 미만),2321177,2043507,7009
남자,20대,1인가구,중간소득(월 300~700만원 미만),2832373,2457693,3165
남자,20대,1인가구,중간소득(월 300~700만원 미만),4278105,3515170,783
남자,20대,1인가구,저소득(월 300만원 미만),779939,724939,4361
남자,20대,1인가구,저소득(월 300만원 미만),838240,838240,9227
남자,20대,1인가구,저소득(월 300만원 미만),1769922,1769922,5143
남자,20대,1인가구,저소득(월 300만원 미만),2153810,2094410,4762
남자,20대,1인가구,저소득(월 300만원 미만),4351383,3944373,255
남자,20대,1인가구,저소득(월 300만원 미만),1212173,938763,208
남자,20대,1인가구,저소득(월 300만원 미만),1415571,1100036,11891
남자,20대,1인가구,저소득(월 300만원 미만),1692071,1273858,6066
남자,20대,1인가구,저소득(월 300만원 미만),2094549,1831335,5142
남자,20대,1인가구,저소득(월 300만원 미만),2649045,2370375,4831
남자,20대,1인가구,저소득(월 300만원 미만),2982957,2710248,6365
남자,20대,1인가구,중간소득(월 300~700만원 미만),2047552,1244928,6366
남자,20대,1인가구,중간소득(월 300~700만원 미만),2221944,1552034,10263
남자,20대,1인가구,중간소득(월 300~700만원 미만),2395214,2076248,7706
남자,20대,1인가구,중간소득(월 300~700만원 미만),2410651,1960684,12111
남자,20대,1인가구,중간소득(월 300~700만원 미만),2492199,2168729,1011
남자,20대,1인가구,중간소득(월 300~700만원 미만),2564275,2184274,12028
남자,20대,1인가구,중간소득(월 300~700만원 미만),2759805,2188924,8847
남자,20대,1인가구,중간소득(월 300~700만원 미만),4006913,3020242,11411
남자,20대,1인가구,중간소득(월 300~700만원 미만),1990606,1017434,9889
남자,20대,1인가구,중간소득(월 300~700만원 미만),3267260,2646910,12387
남자,20대,1인가구,중간소득(월 300~700만원 미만),3484383,2911956,5077
남자,20대,1인가구,중간소득(월 300~700만원 미만),2180199,1683804,2168
남자,20대,1인가구,중간소득(월 300~700만원 미만),2851535,2451932,941
남자,20대,1인가구,중간소득(월 300~700만원 미만),2052097,1521930,4650
남자,20대,1인가구,중간소득(월 300~700만원 미만),4397597,3939403,7855
남자,20대,1인가구,고소득(월 700만원 이상),4009697,2224842,9131
남자,20대,1인가구,중간소득(월 300~700만원 미만),1876399,1075209,1070
남자,20대,1인가구,저소득(월 300만원 미만),1720476,1341756,10584
남자,20대,1인가구,저소득(월 300만원 미만),2070148,1566266,78
남자,20대,1인가구,중간소득(월 300~700만원 미만),2175990,2077740,127
남자,20대,1인가구,중간소득(월 300~700만원 미만),3127725,2095459,12108
남자,20대,1인가구,중간소득(월 300~700만원 미만),3753055,2298898,6882
남자,20대,1인가구,저소득(월 300만원 미만),2835428,2762313,4634
남자,20대,1인가구,저소득(월 300만원 미만),1598601,1251751,9140
남자,20대,1인가구,저소득(월 300만원 미만),1629635,1212865,9025
남자,20대,1인가구,저소득(월 300만원 미만),1664347,1393699,4427
남자,20대,1인가구,저소득(월 300만원 미만),2262494,1949786,8952
남자,20대,1인가구,중간소득(월 300~700만원 미만),1854357,1380943,138
남자,20대,1인가구,중간소득(월 300~700만원 미만),1961363,1395511,9021
남자,20대,1인가구,중간소득(월 300~700만원 미만),2782494,2191407,9260
남자,20대,1인가구,중간소득(월 300~700만원 미만),3002491,2627444,6200
남자,20대,1인가구,중간소득(월 300~700만원 미만),2391405,1827537,136
남자,20대,1인가구,중간소득(월 300~700만원 미만),3123885,1861732,7295
남자,20대,1인가구,중간소득(월 300~700만원 미만),3130432,2119302,5041
남자,20대,1인가구,중간소득(월 300~700만원 미만),8911343,7672994,9441
남자,20대,1인가구,중간소득(월 300~700만원 미만),3162208,2419078,5144
남자,20대,1인가구,고소득(월 700만원 이상),3382462,1533802,6533
남자,20대,1인가구,저소득(월 300만원 미만),2426132,2155235,10540
남자,20대,1인가구,중간소득(월 300~700만원 미만),1943994,1408951,10273
남자,20대,1인가구,중간소득(월 300~700만원 미만),1969342,1510752,2347
남자,20대,1인가구,중간소득(월 300~700만원 미만),2095097,1362935,6719
남자,20대,1인가구,중간소득(월 300~700만원 미만),2559817,1981470,3406
남자,20대,1인가구,중간소득(월 300~700만원 미만),3336824,2352081,5662
남자,20대,1인가구,중간소득(월 300~700만원 미만),4236447,2490630,5728
남자,20대,1인가구,저소득(월 300만원 미만),3217850,2258049,688
남자,20대,1인가구,저소득(월 300만원 미만),2179398,2062732,548
남자,20대,1인가구,중간소득(월 300~700만원 미만),2117854,1317893,2020
남자,20대,1인가구,중간소득(월 300~700만원 미만),2162833,1723483,8617
남자,20대,1인가구,중간소득(월 300~700만원 미만),2618507,2438822,10769
남자,20대,1인가구,중간소득(월 300~700만원 미만),2221309,1378869,1063
남자,20대,1인가구,중간소득(월 300~700만원 미만),3541033,2058717,6227
남자,20대,1인가구,저소득(월 300만원 미만),2411890,2352490,4760
남자,20대,1인가구,저소득(월 300만원 미만),1291524,927339,9797
남자,20대,1인가구,저소득(월 300만원 미만),1666085,1373931,673
남자,20대,1인가구,저소득(월 300만원 미만),1798249,1569923,9138
남자,20대,1인가구,저소득(월 300만원 미만),2014597,1391522,8354
남자,20대,1인가구,저소득(월 300만원 미만),2344799,1756544,2027
남자,20대,1인가구,중간소득(월 300~700만원 미만),1610623,988416,2333
남자,20대,1인가구,중간소득(월 300~700만원 미만),1658625,1273005,11886
남자,20대,1인가구,중간소득(월 300~700만원 미만),1842649,1829745,12030
남자,20대,1인가구,중간소득(월 300~700만원 미만),2007355,1523002,575
남자,20대,1인가구,중간소득(월 300~700만원 미만),2172502,2154245,13418
남자,20대,1인가구,중간소득(월 300~700만원 미만),2194720,1635800,608
남자,20대,1인가구,중간소득(월 300~700만원 미만),2470950,1755655,6183
남자,20대,1인가구,중간소득(월 300~700만원 미만),2484496,1840116,8739
남자,20대,1인가구,중간소득(월 300~700만원 미만),2537114,2103509,7691
남자,20대,1인가구,중간소득(월 300~700만원 미만),3155354,2521095,8539
남자,20대,1인가구,중간소득(월 300~700만원 미만),1774485,1014990,12031
남자,20대,1인가구,중간소득(월 300~700만원 미만),3561189,2960355,4823
남자,20대,1인가구,중간소득(월 300~700만원 미만),3734432,3322372,8535
남자,20대,1인가구,중간소득(월 300~700만원 미만),4164578,3246595,5507
남자,20대,1인가구,중간소득(월 300~700만원 미만),16265577,14826697,12391
남자,20대,1인가구,중간소득(월 300~700만원 미만),2898897,1960596,4733
남자,20대,1인가구,중간소득(월 300~700만원 미만),2963199,1703249,9258
남자,20대,1인가구,중간소득(월 300~700만원 미만),3546624,1827106,137
남자,20대,1인가구,중간소득(월 300~700만원 미만),3794815,2084900,5338
남자,20대,1인가구,중간소득(월 300~700만원 미만),4397359,3629195,7647
남자,20대,1인가구,중간소득(월 300~700만원 미만),4976309,3895879,5989
남자,20대,1인가구,중간소득(월 300~700만원 미만),3989900,2213943,2710
남자,20대,1인가구,저소득(월 300만원 미만),1320420,749490,6538
남자,20대,1인가구,저소득(월 300만원 미만),1646768,1325283,5703
남자,20대,1인가구,저소득(월 300만원 미만),1861166,1222366,5704
남자,20대,1인가구,중간소득(월 300~700만원 미만),1631353,1244943,4505
남자,20대,1인가구,중간소득(월 300~700만원 미만),2147682,1722229,498
남자,20대,1인가구,중간소득(월 300~700만원 미만),2835627,2276437,6540
남자,20대,1인가구,중간소득(월 300~700만원 미만),2493540,1978660,11570
남자,20대,1인가구,중간소득(월 300~700만원 미만),3645150,2436246,11354
남자,20대,1인가구,중간소득(월 300~700만원 미만),2320224,1559684,7637
남자,20대,1인가구,중간소득(월 300~700만원 미만),2533739,2324179,5884
남자,20대,1인가구,중간소득(월 300~700만원 미만),3419033,2389488,5708
남자,20대,1인가구,고소득(월 700만원 이상),3972893,2383043,5516
남자,20대,1인가구,저소득(월 300만원 미만),1674131,1227587,1450
남자,20대,1인가구,저소득(월 300만원 미만),2887124,2465283,4487
남자,20대,1인가구,저소득(월 300만원 미만),866375,586495,13256
남자,20대,1인가구,중간소득(월 300~700만원 미만),2516170,1520513,802
남자,20대,1인가구,중간소득(월 300~700만원 미만),2576340,1339636,1445
남자,20대,1인가구,저소득(월 300만원 미만),2451999,1901945,1059
남자,20대,1인가구,저소득(월 300만원 미만),3499094,3444094,2141
남자,20대,1인가구,저소득(월 300만원 미만),1082568,762666,111
남자,20대,1인가구,저소득(월 300만원 미만),2205962,1819427,2514
남자,20대,1인가구,저소득(월 300만원 미만),2343625,1535875,993
남자,20대,1인가구,저소득(월 300만원 미만),3024217,2653777,7012
남자,20대,1인가구,저소득(월 300만원 미만),3066530,3063949,4959
남자,20대,1인가구,중간소득(월 300~700만원 미만),2631614,1905771,786
남자,20대,1인가구,중간소득(월 300~700만원 미만),3038438,1505660,937
남자,20대,1인가구,저소득(월 300만원 미만),1564970,1288403,11646
남자,20대,1인가구,저소득(월 300만원 미만),1626011,1291058,4436
남자,20대,1인가구,저소득(월 300만원 미만),1723900,1231690,1207
남자,20대,1인가구,저소득(월 300만원 미만),2017799,1705038,4828
남자,20대,1인가구,저소득(월 300만원 미만),2663513,2321239,4652
남자,20대,1인가구,중간소득(월 300~700만원 미만),1633864,1086534,5174
남자,20대,1인가구,중간소득(월 300~700만원 미만),1663487,1043097,9261
남자,20대,1인가구,중간소득(월 300~700만원 미만),2320595,1714552,4081
남자,20대,1인가구,중간소득(월 300~700만원 미만),2468467,1544470,8949
남자,20대,1인가구,중간소득(월 300~700만원 미만),2998128,2209568,2732
남자,20대,1인가구,중간소득(월 300~700만원 미만),3110546,2472206,6992
남자,20대,1인가구,중간소득(월 300~700만원 미만),2331777,1764819,6199
남자,20대,1인가구,중간소득(월 300~700만원 미만),2631570,2135960,8846
남자,20대,1인가구,중간소득(월 300~700만원 미만),2662380,2297311,8476
남자,20대,1인가구,중간소득(월 300~700만원 미만),4287509,3469294,9453
남자,20대,1인가구,중간소득(월 300~700만원 미만),3081619,2526154,12027
남자,20대,1인가구,중간소득(월 300~700만원 미만),4638653,3077021,9886
남자,20대,1인가구,중간소득(월 300~700만원 미만),2948070,1692430,8538
남자,20대,1인가구,고소득(월 700만원 이상),2849327,1275262,53
